25.015495 98.558125 75.292838 
96.000000 26.299157 112.473272 79.836074 
96.000000 26.156371 113.930660 61.125005 
80.000000 26.355663 100.883510 67.476454 
80.000000 26.567343 104.060786 59.539705 
80.000000 26.373375 107.458683 81.088443 
96.000000 26.860082 114.987251 77.735115 
96.000000 26.796984 87.008809 82.515103 
80.000000 26.581509 89.118220 82.117500 
80.000000 26.425973 93.680241 88.989129 
96.000000 26.056001 102.079882 68.785578 
80.000000 26.364516 88.210945 80.316490 
80.000000 26.420757 116.090981 82.723646 
96.000000 26.495746 118.357854 63.830683 
80.000000 26.683088 114.995809 70.798036 
80.000000 26.266823 98.541515 93.953134 
96.000000 26.816140 105.219244 105.463116 
1.000000 26.401162 114.314800 79.419935 
96.000000 26.692881 100.501638 64.833029 
80.000000 26.625002 110.477370 79.415904 
96.000000 26.812143 112.646327 78.063838 
96.000000 26.237798 94.766221 91.310414 
96.000000 26.636066 98.195479 96.027706 
1.000000 26.432781 108.328786 91.309493 
96.000000 26.405484 116.256009 61.970588 
80.000000 26.792188 92.664580 87.058242 
96.000000 26.529557 101.195805 63.580843 
80.000000 26.605124 118.787910 68.179944 
80.000000 26.431683 102.887936 60.992992 
80.000000 25.996772 106.533555 91.175677 
96.000000 26.338691 90.380944 73.131171 
80.000000 26.670961 105.636892 58.555503 
80.000000 26.460521 114.622456 85.849612 
96.000000 26.782857 92.584087 81.162852 
80.000000 27.002728 118.258590 69.854233 
1.000000 26.912874 113.567066 58.485677 
80.000000 26.708559 104.291018 80.655518 
96.000000 26.895746 110.087963 57.235966 
80.000000 26.865019 107.853588 57.548562 
80.000000 26.907671 104.629849 103.835610 
1.000000 26.943888 106.583244 92.536874 
96.000000 26.786673 89.712240 70.523628 
80.000000 26.749316 86.399512 80.472382 
80.000000 26.682676 94.998415 84.646722 
96.000000 27.045389 106.287568 108.256015 
102.000000 26.701786 95.854248 82.773702 
96.000000 27.151315 86.911109 84.139280 
80.000000 27.227692 113.237057 89.535995 
96.000000 26.948006 99.780034 96.305339 
1.000000 27.096413 92.764002 66.760711 
80.000000 26.735937 114.881647 59.821490 
