24.965734 98.576403 75.223681 
1.000000 25.819370 103.629600 67.113857 
80.000000 25.756525 101.020826 78.093257 
80.000000 25.835340 116.079954 66.796674 
80.000000 25.742492 104.497556 63.183063 
80.000000 25.935222 96.333116 70.298249 
80.000000 25.703428 108.612562 89.298750 
96.000000 26.103080 102.850245 64.284584 
80.000000 25.644394 103.543070 70.321092 
1.000000 25.877730 105.103584 61.589986 
80.000000 25.895412 96.285324 90.646495 
1.000000 26.057188 113.043776 81.340010 
96.000000 25.867657 114.660845 63.087003 
80.000000 26.188474 114.237819 70.236745 
1.000000 25.998674 98.644314 70.180557 
80.000000 25.858900 98.479564 84.546829 
1.000000 26.041035 93.355649 70.824962 
80.000000 26.428847 104.203675 76.767410 
80.000000 25.989066 111.621787 88.304991 
96.000000 25.937030 101.440163 92.128194 
1.000000 26.454556 90.764927 81.303553 
80.000000 25.922302 110.308326 89.447798 
96.000000 26.114658 106.849171 91.087971 
96.000000 25.987255 111.038248 81.415442 
1.000000 26.073309 90.060649 80.155713 
80.000000 26.137664 105.494790 74.760878 
80.000000 25.847557 99.377312 79.720424 
1.000000 26.146519 103.292400 81.835998 
96.000000 25.955918 101.083427 81.819343 
96.000000 26.440626 116.167884 69.616923 
80.000000 25.937049 101.316834 70.178764 
80.000000 26.357962 96.740827 80.940200 
80.000000 25.870015 91.202875 75.239540 
80.000000 26.376809 105.727281 81.453257 
96.000000 26.620688 107.429791 74.520093 
1.000000 26.229756 96.092057 85.750401 
96.000000 26.259609 94.348294 79.958121 
80.000000 26.017577 111.712739 60.676113 
80.000000 25.946664 113.079196 84.033955 
96.000000 26.043610 116.539082 64.141241 
80.000000 26.161610 105.952314 60.067021 
80.000000 26.519318 111.009712 71.921346 
80.000000 25.989771 113.118841 85.492824 
96.000000 26.146424 104.001925 92.047982 
96.000000 26.250938 102.032732 66.325691 
80.000000 26.034695 100.018346 70.186873 
80.000000 26.135213 114.168575 82.482834 
